"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00283704","1997-01-19","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-20","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-21","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-22","40.7481","-74.152","7.3","HARRISON, NJ US","   41",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-01-23","40.7481","-74.152","7.3","HARRISON, NJ US","    3",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-01-24","40.7481","-74.152","7.3","HARRISON, NJ US","   51",",,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-01-25","40.7481","-74.152","7.3","HARRISON, NJ US","  325",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-01-26","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-27","40.7481","-74.152","7.3","HARRISON, NJ US","   28",",,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-01-28","40.7481","-74.152","7.3","HARRISON, NJ US","  135",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-01-29","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-01-30","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-01-31","40.7481","-74.152","7.3","HARRISON, NJ US","    5",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-02-01","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-02","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-02-03","40.7481","-74.152","7.3","HARRISON, NJ US","   25",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-02-04","40.7481","-74.152","7.3","HARRISON, NJ US","   38",",,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-02-05","40.7481","-74.152","7.3","HARRISON, NJ US","  251",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-02-06","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-07","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-08","40.7481","-74.152","7.3","HARRISON, NJ US","   20",",,0,2400","   38",",,0,","   51",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-02-09","40.7481","-74.152","7.3","HARRISON, NJ US","    8",",,0,2400","    3",",,0,","    0","T,,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-02-10","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-11","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-12","40.7481","-74.152","7.3","HARRISON, NJ US","    3",",,0,2400","    3",",,0,","    0","T,,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-02-13","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-14","40.7481","-74.152","7.3","HARRISON, NJ US","  221",",,0,2400","   41",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-02-15","40.7481","-74.152","7.3","HARRISON, NJ US","   33",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-02-16","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-02-17","40.7481","-74.152","7.3","HARRISON, NJ US","    3",",,0,2400","    3",",,0,","    0","T,,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-02-18","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-19","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-20","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-21","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-22","40.7481","-74.152","7.3","HARRISON, NJ US","   13",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-02-23","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-24","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-25","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-02-26","40.7481","-74.152","7.3","HARRISON, NJ US","    3",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-02-27","40.7481","-74.152","7.3","HARRISON, NJ US","   23",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-02-28","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-01","40.7481","-74.152","7.3","HARRISON, NJ US","   66",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-03-02","40.7481","-74.152","7.3","HARRISON, NJ US","   10",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-03-03","40.7481","-74.152","7.3","HARRISON, NJ US","  124",",,0,2400","   51",",,0,","   51",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-03-04","40.7481","-74.152","7.3","HARRISON, NJ US","   13",",,0,2400","    8",",,0,","   25",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-03-05","40.7481","-74.152","7.3","HARRISON, NJ US","   30",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-03-06","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USC00283704","1997-03-07","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-08","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-09","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-10","40.7481","-74.152","7.3","HARRISON, NJ US","  124",",,0,2400","   51",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-03-11","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-12","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-13","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-14","40.7481","-74.152","7.3","HARRISON, NJ US","  366",",,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-03-15","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-16","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-17","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-18","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-19","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-03-20","40.7481","-74.152","7.3","HARRISON, NJ US","   23",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-03-21","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-22","40.7481","-74.152","7.3","HARRISON, NJ US","    3",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-03-23","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-24","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-25","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-03-26","40.7481","-74.152","7.3","HARRISON, NJ US","   89",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-03-27","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-28","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-29","40.7481","-74.152","7.3","HARRISON, NJ US","   38",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0","    1",",,0",,,,,,,,
"USC00283704","1997-03-30","40.7481","-74.152","7.3","HARRISON, NJ US","   38",",,0,2400","    0","P,,0,","    0","P,,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-03-31","40.7481","-74.152","7.3","HARRISON, NJ US","  546",",,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-04-01","40.7481","-74.152","7.3","HARRISON, NJ US","   94",",,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,0",,,,,,
"USC00283704","1997-04-02","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-03","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-04","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-05","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-06","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-04-07","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-08","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-09","40.7481","-74.152","7.3","HARRISON, NJ US","    5",",,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-04-10","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-11","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-12","40.7481","-74.152","7.3","HARRISON, NJ US","  297",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-04-13","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-14","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-15","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-16","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-17","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-18","40.7481","-74.152","7.3","HARRISON, NJ US","   41",",,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-19","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0","T,,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-20","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-21","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-22","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-23","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-24","40.7481","-74.152","7.3","HARRISON, NJ US","   58",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-04-25","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-26","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-27","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-28","40.7481","-74.152","7.3","HARRISON, NJ US","  312",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-04-29","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-04-30","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-01","40.7481","-74.152","7.3","HARRISON, NJ US","   56",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0","    1",",,0",,,,,,,,
"USC00283704","1997-05-02","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-03","40.7481","-74.152","7.3","HARRISON, NJ US","  244",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0","    1",",,0",,,,,,,,
"USC00283704","1997-05-04","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-05","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-06","40.7481","-74.152","7.3","HARRISON, NJ US","   84",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0","    1",",,0",,,,,,,,
"USC00283704","1997-05-07","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-08","40.7481","-74.152","7.3","HARRISON, NJ US","    5",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-05-09","40.7481","-74.152","7.3","HARRISON, NJ US","   89",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,
"USC00283704","1997-05-10","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-11","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-12","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-13","40.7481","-74.152","7.3","HARRISON, NJ US","    0","T,,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-14","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-15","40.7481","-74.152","7.3","HARRISON, NJ US","    3",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-16","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-17","40.7481","-74.152","7.3","HARRISON, NJ US","    3",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-18","40.7481","-74.152","7.3","HARRISON, NJ US","    0",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00283704","1997-05-19","40.7481","-74.152","7.3","HARRISON, NJ US","   69",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,"    1",",,0","    1",",,0",,,,,,,,
"USC00283704","1997-05-20","40.7481","-74.152","7.3","HARRISON, NJ US","   15",",,0,2400","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,,,,,,,,,,,
